zone0 to zone0 µїАП°ж·О
zone0 to zone1 ГС 10єР, µµєё 9єР, єсїл 900їш
zone0 to zone2 ГС 21єР, µµєё 9єР, єсїл 1,200їш
zone0 to zone3 ГС 31єР, µµєё 9єР, єсїл 1,200їш
zone0 to zone4 ГС 33єР, µµєё 9єР, єсїл 1,200їш
zone0 to zone5 ГС 16єР, µµєё 9єР, єсїл 1,200їш
zone0 to zone6 ГС 21єР, µµєё 5єР, єсїл 1,200їш
zone0 to zone7 ГС 19єР, µµєё 6єР, єсїл 1,200їш
zone0 to zone8 ГС 15єР, µµєё 10єР, єсїл 900їш
zone0 to zone9 ГС 22єР, µµєё 8єР, єсїл 1,250їш
zone0 to zone10 ГС 24єР, µµєё 10єР, єсїл 1,200їш
zone0 to zone11 ГС 27єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone12 ГС 29єР, µµєё 11єР, єсїл 1,250їш
zone0 to zone13 ГС 28єР, µµєё 12єР, єсїл 1,250їш
zone0 to zone14 ГС 33єР, µµєё 15єР, єсїл 1,250їш
zone0 to zone15 ГС 32єР, µµєё 14єР, єсїл 1,250їш
zone0 to zone16 ГС 29єР, µµєё 11єР, єсїл 1,250їш
zone0 to zone17 ГС 19єР, µµєё 11єР, єсїл 900їш
zone0 to zone18 ГС 27єР, µµєё 12єР, єсїл 1,200їш
zone0 to zone19 ГС 27єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone20 ГС 25єР, µµєё 13єР, єсїл 900їш
zone0 to zone21 ГС 31єР, µµєё 12єР, єсїл 1,200їш
zone0 to zone22 ГС 38єР, µµєё 6єР, єсїл 1,200їш
zone0 to zone23 ГС 26єР, µµєё 13єР, єсїл 1,250їш
zone0 to zone24 ГС 30єР, µµєё 13єР, єсїл 1,200їш
zone0 to zone25 ГС 43єР, µµєё 10єР, єсїл 1,200їш
zone0 to zone26 ГС 46єР, µµєё 15єР, єсїл 1,200їш
zone0 to zone27 ГС 28єР, µµєё 13єР, єсїл 1,250їш
zone0 to zone28 ГС 47єР, µµєё 8єР, єсїл 1,200їш
zone0 to zone29 ГС 35єР, µµєё 19єР, єсїл 1,250їш
zone0 to zone30 ГС 34єР, µµєё 18єР, єсїл 1,250їш
zone0 to zone31 ГС 31єР, µµєё 16єР, єсїл 1,250їш
zone0 to zone32 ГС 27єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone33 ГС 27єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone34 ГС 33єР, µµєё 17єР, єсїл 1,200їш
zone0 to zone35 ГС 38єР, µµєё 5єР, єсїл 1,200їш
zone0 to zone36 ГС 38єР, µµєё 4єР, єсїл 1,200їш
zone0 to zone37 ГС 34єР, µµєё 5єР, єсїл 1,200їш
zone0 to zone38 ГС 29єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone39 ГС 30єР, µµєё 5єР, єсїл 1,200їш
zone0 to zone40 ГС 26єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone41 ГС 34єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone42 ГС 34єР, µµєё 12єР, єсїл 1,250їш
zone0 to zone43 ГС 47єР, µµєё 5єР, єсїл 1,200їш
zone0 to zone44 ГС 38єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone45 ГС 39єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone46 ГС 42єР, µµєё 8єР, єсїл 1,200їш
zone0 to zone47 ГС 41єР, µµєё 17єР, єсїл 1,200їш
zone0 to zone48 ГС 37єР, µµєё 19єР, єсїл 1,250їш
zone0 to zone49 ГС 36єР, µµєё 17єР, єсїл 1,250їш
zone0 to zone50 ГС 48єР, µµєё 12єР, єсїл 1,200їш
zone0 to zone51 ГС 35єР, µµєё 14єР, єсїл 1,250їш
zone0 to zone52 ГС 44єР, µµєё 23єР, єсїл 1,250їш
zone0 to zone53 ГС 33єР, µµєё 15єР, єсїл 1,250їш
zone0 to zone54 ГС 48єР, µµєё 6єР, єсїл 1,300їш
zone0 to zone55 ГС 29єР, µµєё 12єР, єсїл 1,250їш
zone0 to zone56 ГС 54єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone57 ГС 34єР, µµєё 17єР, єсїл 1,250їш
zone0 to zone58 ГС 39єР, µµєё 7єР, єсїл 1,200їш
zone0 to zone59 ГС 48єР, µµєё 26єР, єсїл 1,250їш
zone0 to zone60 ГС 40єР, µµєё 18єР, єсїл 1,250їш
zone0 to zone61 ГС 50єР, µµєё 24єР, єсїл 1,350їш
zone0 to zone62 ГС 44єР, µµєё 25єР, єсїл 1,250їш
zone0 to zone63 ГС 1ЅГ°Ј 2єР, µµєё 9єР, єсїл 1,300їш
zone0 to zone64 ГС 49єР, µµєё 11єР, єсїл 1,200їш
zone0 to zone65 ГС 1ЅГ°Ј 11єР, µµєё 14єР, єсїл 1,300їш
zone0 to zone66 ГС 53єР, µµєё 18єР, єсїл 1,350їш
zone0 to zone67 ГС 1ЅГ°Ј 7єР, µµєё 15єР, єсїл 1,550їш
zone0 to zone68 ГС 1ЅГ°Ј 4єР, µµєё 23єР, єсїл 1,450їш
zone0 to zone69 ГС 1ЅГ°Ј 2єР, µµєё 9єР, єсїл 1,300їш
zone0 to zone70 ГС 43єР, µµєё 16єР, єсїл 1,350їш
zone0 to zone71 ГС 44єР, µµєё 16єР, єсїл 1,350їш
zone0 to zone72 ГС 51єР, µµєё 17єР, єсїл 1,350їш
zone0 to zone73 ГС 1ЅГ°Ј 2єР, µµєё 10єР, єсїл 1,300їш
zone0 to zone74 ГС 55єР, µµєё 19єР, єсїл 1,350їш
zone0 to zone75 ГС 56єР, µµєё 14єР, єсїл 1,450їш
zone0 to zone76 ГС 45єР, µµєё 13єР, єсїл 1,350їш
zone0 to zone77 ГС 43єР, µµєё 16єР, єсїл 1,350їш
zone0 to zone78 ГС 43єР, µµєё 15єР, єсїл 1,350їш
zone0 to zone79 ГС 1ЅГ°Ј 5єР, µµєё 11єР, єсїл 1,300їш
zone0 to zone80 ГС 39єР, µµєё 9єР, єсїл 1,200їш
zone0 to zone81 ГС 48єР, µµєё 14єР, єсїл 1,200їш
zone0 to zone82 ГС 40єР, µµєё 16єР, єсїл 1,250їш
zone0 to zone83 ГС 53єР, µµєё 12єР, єсїл 1,200їш
